#Title: A Near-Infrared Spectral Template for Quasars 
#Authors: Glikman E., Helfand D.J., White R.L. 
#Table: Optical-to-infrared Composite Quasar Spectrum, Arithmetic and 
#       Geometric Means 
#================================================================================
#Byte-by-byte Description of file: datafile7.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label  Explanations
#--------------------------------------------------------------------------------
#   1-  7 F7.1   0.1nm   Wave   Wavelength in Angstroms
#   9- 15 F7.4   ---     Flux   Arithmetic mean flux in arbitrary units 
#  17- 23 F7.4   ---   e_Flux   Error in Flux 
#  25- 31 F7.4   ---     GFlux  Geometric mean flux in arbitrary units
#--------------------------------------------------------------------------------
 7539.4  1.6919  0.0142  1.4950
 7541.2  1.7926  0.0181  1.5874
 7543.0  1.8032  0.0172  1.4721
 7544.7  1.7036  0.0163  1.2650
 7546.5  1.7141  0.0171  1.5214
 7548.2  1.5682  0.0139  1.5314
 7550.0  1.6740  0.0156  1.4756
 7551.7  1.7552  0.0162  1.4483
 7553.5  1.6147  0.0132  1.4862
 7555.2  1.5866  0.0142  1.3887
 7557.0  1.6780  0.0146  1.5581
 7558.8  1.6258  0.0159  1.4592
 7560.5  1.5525  0.0173  1.4987
 7562.3  1.7109  0.0162  1.3693
 7564.0  1.6792  0.0143  1.4378
 7565.8  1.6594  0.0154  1.4063
 7567.5  1.6796  0.0148  1.6023
 7569.3  1.6365  0.0137  1.7044
 7571.1  1.6840  0.0155  1.5702
 7572.8  1.8502  0.0143  1.4338
 7574.6  1.7952  0.0179  1.6740
 7576.4  1.6604  0.0161  1.5131
 7578.1  1.5121  0.0143  1.4738
 7579.9  1.6898  0.0159  1.5538
 7581.6  1.6365  0.0166  1.3730
 7583.4  1.5891  0.0164  1.3858
 7585.2  1.7301  0.0185  1.3595
 7586.9  1.6305  0.0170  1.4665
 7588.7  1.6861  0.0178  1.4062
 7590.5  1.4302  0.0155  1.6164
 7592.2  1.5343  0.0158  1.3961
 7594.0  1.6783  0.0174  1.5774
 7595.8  1.5232  0.0165  1.4491
 7597.5  1.7384  0.0214  1.4854
 7599.3  1.6128  0.0199  1.5025
 7601.1  1.6407  0.0167  1.5495
 7602.8  1.1714  0.0138  1.4800
 7604.6  1.5234  0.0150  1.3701
 7606.4  1.5991  0.0160  1.4068
 7608.1  1.7132  0.0182  1.5702
 7609.9  1.6555  0.0170  1.4329
 7611.7  1.6657  0.0130  1.4220
 7613.5  1.7218  0.0157  1.5919
 7615.2  1.6568  0.0181  1.5133
 7617.0  1.6122  0.0173  1.2151
 7618.8  1.6058  0.0169  1.3899
 7620.5  1.6119  0.0175  1.5296
 7622.3  1.5307  0.0135  1.5331
 7624.1  1.4969  0.0161  1.3383
 7625.9  1.6202  0.0171  1.4835
 7627.6  1.6431  0.0200  1.4860
 7629.4  1.6590  0.0178  1.2744
 7631.2  1.6762  0.0196  1.4507
 7633.0  1.5074  0.0193  1.4077
 7634.7  1.5453  0.0185  1.3726
 7636.5  1.5637  0.0173  1.5916
 7638.3  1.5115  0.0151  1.4610
 7640.1  1.5152  0.0167  1.1032
 7641.8  1.6394  0.0188  1.4775
 7643.6  1.6679  0.0172  1.4206
 7645.4  1.6522  0.0178  1.3994
 7647.2  1.8476  0.0181  1.4208
 7649.0  1.6212  0.0165  1.3165
 7650.7  1.5241  0.0161  1.2096
 7652.5  1.4400  0.0139  1.5263
 7654.3  1.5366  0.0164  1.3379
 7656.1  1.5857  0.0183  1.2990
 7657.9  1.5613  0.0190  1.2523
 7659.6  1.4783  0.0150  1.3099
 7661.4  1.4370  0.0146  1.3611
 7663.2  1.6552  0.0197  1.2469
 7665.0  1.6688  0.0180  1.3909
 7666.8  1.5502  0.0136  1.4878
 7668.5  1.4426  0.0146  1.3822
 7670.3  1.4295  0.0141  1.4044
 7672.1  1.3685  0.0151  1.3565
 7673.9  1.6351  0.0173  1.3803
 7675.7  1.6315  0.0186  1.3622
 7677.5  1.5490  0.0163  1.4091
 7679.3  1.4761  0.0150  1.4385
 7681.0  1.5854  0.0162  1.1459
 7682.8  1.5971  0.0170  1.3434
 7684.6  1.6263  0.0177  1.2885
 7686.4  1.5778  0.0173  1.3048
 7688.2  1.6046  0.0176  1.3196
 7690.0  1.6173  0.0165  1.0585
 7691.8  1.4950  0.0154  1.4820
 7693.6  1.5608  0.0165  1.5132
 7695.4  1.6246  0.0183  1.5541
 7697.1  1.4015  0.0144  1.1806
 7698.9  1.4635  0.0143  1.4526
 7700.7  1.6057  0.0173  1.3600
 7702.5  1.6471  0.0186  1.4786
 7704.3  1.5939  0.0168  1.4783
 7706.1  1.6411  0.0196  1.5458
 7707.9  1.6002  0.0187  1.4330
 7709.7  1.5993  0.0190  1.3658
 7711.5  1.6338  0.0190  1.3904
 7713.3  1.6249  0.0191  1.3339
 7715.1  1.4959  0.0159  1.6272
 7716.9  1.5804  0.0147  1.6145
 7718.6  1.6727  0.0161  1.5759
 7720.5  1.4611  0.0146  1.3707
 7722.2  1.4888  0.0161  1.4733
 7724.0  1.5953  0.0203  1.3303
 7725.8  1.5942  0.0179  1.4973
 7727.6  1.4514  0.0150  1.2920
 7729.4  1.5407  0.0159  1.2592
 7731.2  1.5984  0.0186  1.3964
 7733.0  1.5965  0.0182  1.5803
 7734.8  1.5335  0.0173  1.4335
 7736.6  1.5352  0.0179  1.3109
 7738.4  1.4668  0.0162  1.3172
 7740.2  1.5137  0.0151  1.4237
 7742.0  1.5665  0.0164  1.5444
 7743.8  1.6065  0.0184  1.3928
 7745.6  1.6494  0.0191  1.5213
 7747.4  1.5331  0.0163  1.5228
 7749.2  1.5992  0.0165  1.5117
 7751.0  1.6334  0.0174  1.3176
 7752.8  1.6649  0.0182  1.3657
 7754.6  1.5943  0.0175  1.5090
 7756.5  1.6974  0.0186  1.4915
 7758.2  1.5291  0.0157  1.3719
 7760.1  1.7118  0.0184  1.2285
 7761.9  1.6719  0.0187  1.3174
 7763.7  1.7245  0.0202  1.3758
 7765.5  1.7486  0.0193  1.5222
 7767.3  1.8408  0.0162  1.4862
 7769.1  1.7389  0.0196  1.4552
 7770.9  1.6725  0.0189  1.5794
 7772.7  1.6326  0.0159  1.4516
 7774.5  1.5975  0.0149  1.4954
 7776.3  1.5935  0.0155  1.6165
 7778.1  1.5903  0.0189  1.3680
 7779.9  1.5607  0.0174  1.3447
 7781.8  1.5415  0.0186  1.2687
 7783.6  1.6258  0.0193  1.2771
 7785.4  1.7119  0.0203  1.4705
 7787.2  1.6411  0.0167  1.5463
 7789.0  1.4901  0.0148  1.4770
 7790.8  1.6078  0.0195  1.5646
 7792.6  1.6375  0.0201  1.4749
 7794.4  1.4993  0.0166  1.2275
 7796.2  1.6004  0.0202  1.4371
 7798.0  1.4219  0.0162  1.3912
 7799.9  1.3805  0.0154  1.2991
 7801.7  1.6117  0.0191  1.4046
 7803.5  1.6906  0.0151  1.4072
 7805.3  1.4604  0.0186  1.2431
 7807.1  1.5997  0.0194  1.2416
 7808.9  1.5924  0.0221  1.3696
 7810.8  1.4315  0.0188  1.4092
 7812.6  1.4476  0.0168  1.4870
 7814.4  1.5874  0.0189  1.3794
 7816.2  1.4921  0.0205  1.2886
 7818.0  1.5540  0.0150  1.3382
 7819.9  1.5349  0.0170  1.3880
 7821.7  1.6045  0.0189  1.4445
 7823.5  1.5419  0.0180  1.3831
 7825.3  1.5409  0.0186  1.6236
 7827.1  1.5855  0.0206  1.5082
 7829.0  1.5239  0.0174  1.3398
 7830.8  1.4993  0.0248  1.4454
 7832.6  1.5285  0.0213  1.4642
 7834.4  1.6280  0.0223  1.1824
 7836.2  1.4449  0.0189  1.4921
 7838.1  1.5698  0.0222  1.4276
 7839.9  1.5252  0.0169  1.4083
 7841.7  1.5450  0.0210  1.5150
 7843.5  1.5892  0.0216  1.3237
 7845.4  1.5346  0.0281  1.4308
 7847.2  1.2604  0.0185  1.5786
 7849.0  1.4149  0.0236  1.4862
 7850.8  1.7548  0.0273  1.5245
 7852.7  1.6849  0.0272  1.4317
 7854.5  1.5775  0.0248  1.5459
 7856.3  1.6213  0.0231  1.4256
 7858.1  1.6447  0.0258  1.2366
 7860.0  1.3314  0.0187  1.4119
 7861.8  1.4644  0.0272  1.2390
 7863.6  1.5887  0.0256  1.4214
 7865.5  1.2047  0.0205  1.4289
 7867.3  1.6915  0.0283  1.4383
 7869.1  1.5894  0.0206  1.2768
 7870.9  1.5099  0.0237  1.3649
 7872.8  1.5801  0.0196  1.4891
 7874.6  1.7921  0.0258  1.3751
 7876.4  1.7877  0.0268  1.2604
 7878.3  1.4031  0.0259  1.3143
 7880.1  1.6004  0.0246  1.3221
 7881.9  1.3114  0.0194  1.1364
 7883.8  1.6592  0.0308  1.4158
 7885.6  1.5247  0.0256  1.2613
 7887.4  1.5771  0.0206  1.2057
 7889.3  1.4094  0.0197  1.4282
 7891.1  1.3112  0.0194  1.2751
 7892.9  1.5720  0.0213  1.4484
 7894.8  1.7963  0.0241  1.5159
 7896.6  1.7700  0.0293  1.5281
 7898.5  1.4705  0.0197  1.5285
 7900.3  1.3874  0.0184  1.4501
 7902.1  1.4623  0.0208  1.2467
 7904.0  1.7480  0.0201  1.3416
 7905.8  1.4764  0.0217  1.5224
 7907.6  1.5208  0.0225  1.4357
 7909.5  1.3673  0.0208  1.3987
 7911.3  1.4022  0.0177  1.4281
 7913.2  1.3654  0.0184  1.3939
 7915.0  1.6065  0.0290  1.3485
 7916.8  1.5478  0.0266  1.3157
 7918.7  1.4273  0.0260  1.5177
 7920.5  1.3565  0.0211  1.3371
 7922.4  1.4480  0.0249  1.2523
 7924.2  1.3227  0.0216  1.2530
 7926.1  1.3962  0.0237  1.2885
 7927.9  1.6062  0.0208  1.2083
 7929.7  1.3085  0.0229  1.0781
 7931.6  1.1796  0.0234  1.2142
 7933.4  1.4372  0.0246  1.2951
 7935.3  1.3978  0.0257  0.9831
 7937.1  0.9909  0.0218  1.1840
 7939.0  1.1623  0.0213  1.1342
 7940.8  1.3742  0.0273  1.2783
 7942.7  1.4598  0.0311  1.1602
 7944.5  1.3510  0.0267  1.4178
 7946.4  1.3948  0.0311  1.3194
 7948.2  1.3439  0.0342  1.1939
 7950.1  1.4082  0.0275  1.4216
 7951.9  1.3539  0.0276  1.1707
 7953.8  1.3202  0.0304  1.1916
 7955.6  1.2309  0.0229  1.1104
 7957.5  1.4290  0.0253  1.2614
 7959.3  1.5323  0.0313  1.2925
 7961.2  1.3785  0.0292  1.4015
 7963.0  1.3787  0.0344  1.3875
 7964.9  1.5027  0.0334  1.3714
 7966.7  1.3810  0.0219  1.3214
 7968.6  1.1849  0.0210  1.2725
 7970.4  1.1949  0.0243  1.2623
 7972.3  1.3074  0.0212  1.1518
 7974.1  1.4450  0.0291  1.3862
 7976.0  1.3519  0.0300  1.2367
 7977.8  1.3876  0.0268  1.4036
 7979.7  1.3713  0.0241  1.3337
 7981.6  0.9493  0.0216  1.3740
 7983.4  1.4589  0.0239  1.2824
 7985.3  1.3720  0.0152  1.4010
 7987.1  1.3638  0.0266  1.3497
 7989.0  1.3720  0.0271  1.3149
 7990.8  1.5084  0.0319  1.3386
 7992.7  1.4682  0.0315  1.2609
 7994.6  1.3301  0.0210  1.1793
 7996.4  1.3590  0.0194  1.2159
 7998.3  1.1045  0.0183  1.1561
 8000.1  1.3697  0.0292  1.2844
 8002.0  1.3632  0.0210  1.2341
 8003.9  1.3358  0.0191  1.2299
 8005.7  1.3909  0.0204  1.2556
 8007.6  1.3317  0.0267  1.1556
 8009.5  1.3736  0.0284  1.0604
 8011.3  1.0342  0.0150  1.1499
 8013.2  1.1819  0.0212  1.3518
 8015.0  1.2725  0.0261  1.1874
 8016.9  1.2630  0.0199  1.2313
 8018.8  1.2023  0.0159  1.3019
 8020.6  1.2915  0.0235  1.0438
 8022.5  1.3608  0.0347  1.1913
 8024.4  1.2973  0.0232  1.3547
 8026.2  1.3554  0.0270  1.2061
 8028.1  1.4372  0.0263  1.2413
 8030.0  1.4772  0.0278  0.9862
 8031.8  1.6279  0.0375  1.2980
 8033.7  1.6428  0.0285  1.4464
 8035.6  1.3783  0.0192  1.3909
 8037.4  1.3808  0.0222  1.4051
 8039.3  1.4934  0.0234  1.4834
 8041.2  1.3794  0.0181  1.4230
 8043.0  1.4190  0.0156  1.3372
 8044.9  0.7598  0.0207  1.2945
 8046.8  1.1394  0.0290  1.3166
 8048.7  1.3908  0.0217  1.0264
 8050.5  1.4842  0.0275  1.2415
 8052.4  1.1794  0.0225  1.2072
